               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11896,            0.036606,            0.042816,           0.0087984,             0.04386,           0.0048944,           0.0010047,             0.10604,            0.030845,            0.036986,               8e-05,               8e-05,             0.09928
                   1,             0.11393,            0.037204,            0.041568,            0.011768,             0.05848,           0.0080869,           0.0012633,             0.10055,            0.029697,            0.036037,          0.00016626,          0.00016626,            0.098466
                   2,             0.10529,            0.035163,            0.040293,           0.0090404,            0.072542,           0.0064525,           0.0013379,            0.095381,            0.028938,            0.034524,          0.00023765,          0.00023765,            0.097638
                   3,            0.099787,             0.03608,             0.03797,            0.010576,             0.02924,           0.0050043,           0.0009433,            0.091205,            0.028478,            0.032883,          0.00028508,          0.00028508,            0.096785
                   4,             0.09761,             0.03799,            0.037022,            0.007974,            0.043303,           0.0051779,           0.0009211,            0.087568,            0.028206,            0.031572,          0.00030319,          0.00030319,            0.095903
                   5,            0.092343,            0.036824,            0.035842,           0.0084877,             0.14801,           0.0067621,           0.0012873,            0.084838,            0.028073,            0.030585,           0.0002915,           0.0002915,            0.094992
                   6,            0.089776,            0.037048,            0.034808,            0.014974,            0.055556,            0.011104,           0.0021832,            0.082746,            0.028022,            0.029509,          0.00025478,          0.00025478,            0.094055
                   7,            0.089772,            0.038473,            0.032959,            0.034682,            0.032164,            0.015636,           0.0029871,            0.080504,            0.027919,            0.028621,           0.0002027,           0.0002027,            0.093103
                   8,            0.086004,            0.041555,            0.033274,            0.048451,            0.032164,            0.021065,           0.0042974,            0.079146,            0.027775,            0.028303,          0.00014875,          0.00014875,            0.092149
                   9,            0.084169,             0.03864,            0.032011,            0.048415,            0.040936,            0.025358,           0.0050154,            0.078107,            0.027581,            0.027979,           0.0001086,           0.0001086,            0.091209
